;sentiscore_average;sentiment_Textblob;textfile;journal;text_id
0;-0.09734254485226865;-0.028483688930117507;10000_1834_ATH_323;ATH;10000
1;-0.008203060156665743;0.0;10003_1786_CR_29_1;CR;10003
2;0.014088481802631309;0.047619047619047616;10003_1786_MR_29_2;MR;10003
3;0.04582525811384883;0.029731357052052102;10012_1813_CR_07_1;CR;10012
4;0.030518610088902862;0.049103199946157576;10013_1811_CR_17_1;CR;10013
5;-0.03142138552191672;0.082593537414966;10024_1858_ATH_145;ATH;10024
6;-0.006733150073541474;0.0161074153078984;10029_1888_ATH_565;ATH;10029
7;-0.039734770498850144;0.05659978991596639;10030_1889_ATH_787;ATH;10030
8;8.783685855100628e-05;0.038327096879728455;10032_1896_ATH_635;ATH;10032
9;-0.03273265085778838;0.008967387189317819;10033_1900_ATH_544;ATH;10033
10;0.012572027618686355;0.0;10034_1786_CR_15_1;CR;10034
11;-0.048785208936103365;0.02027027027027027;10034_1786_MR_15_2;MR;10034
12;0.012292614498494968;0.05365604181393656;10035_1911_ATH_552;ATH;10035
13;-0.024143074950275366;0.029500390417331213;10037_1789_CR_31_1;CR;10037
14;0.02473481707133804;0.04092268842268843;10037_1789_MR_31_2;MR;10037
15;-0.0215844200971837;0.031016459571026132;10038_1902_ATH_446;ATH;10038
16;0.006939514323050382;0.018901139173004497;10039_1910_ATH_453;ATH;10039
17;-0.02773323269875132;0.01019542807158548;10040_1911_ATH_352;ATH;10040
18;-0.0367997226036218;0.001682829105627701;10043_1864_ATH_610;ATH;10043
19;-0.006292656677065801;0.025307391556275222;10046_1862_ATH_525;ATH;10046
20;-0.023448959168939233;-0.023923732517482522;10048_1847_ATH_1325;ATH;10048
21;-0.03128332510719239;0.0035246235246235236;10049_1848_ATH_670;ATH;10049
22;-0.041428030095327535;0.013964032013139156;10050_1847_ATH_1100;ATH;10050
23;0.002700731465246365;0.022321191744497253;10051_1849_ATH_1107;ATH;10051
24;-0.057339941211486424;0.016615742611147025;10053_1847_ATH_1324;ATH;10053
25;-0.014818980157265056;0.04476034357821212;10056_1867_ATH_514;ATH;10056
26;0.006189113884416933;0.025824366256348735;10059_1811_CR_26_1;CR;10059
27;0.023650255984956483;0.06906827726145907;10059_1811_MR_26_2;MR;10059
28;-0.055578303284559226;0.013503639641913133;10063_1834_ATH_705;ATH;10063
29;0.005813858374108185;0.07424642857142856;10064_1911_ATH_621;ATH;10064
30;0.027559062384310752;0.041875;10065_1796_CR_26_1;CR;10065
31;-0.009775271258069452;0.01733716283716284;10065_1796_MR_26_2;MR;10065
32;0.07829089678341039;0.003333333333333336;10067_1778_CR_10_1;CR;10067
33;-0.0011412350226762888;0.12038235294117647;10067_1778_MR_10_2;MR;10067
34;-0.03426699294248496;0.018348642372835688;10069_1872_ATH_492;ATH;10069
35;0.005349150182641262;0.06604640436590868;10070_1903_ATH_683;ATH;10070
36;-0.05999206190765324;-0.0005094378261671516;10079_1847_ATH_278;ATH;10079
37;-0.023579893865483845;0.022695457313407007;10081_1848_ATH_208;ATH;10081
38;-0.09867943428190691;-0.03074055574055574;10093_1865_ATH_844;ATH;10093
39;-0.006824514687763037;0.06229255657609055;10094_1871_ATH_787;ATH;10094
40;-0.01421945028078509;0.0416901280537644;10096_1908_ATH_350;ATH;10096
41;0.023684857600299574;-0.024793690106190112;10097_1903_ATH_719;ATH;10097
42;0.007367385634981088;0.045030891617790024;10098_1899_ATH_683;ATH;10098
43;-0.04404475691647276;0.012384467338901322;10100_1866_ATH_732;ATH;10100
44;0.024919772094984024;0.016314360843993354;10101_1870_ATH_45;ATH;10101
45;-0.011007425751940757;0.03027418051443825;10102_1863_ATH_10;ATH;10102
46;0.017406352870960876;0.04920454545454546;10103_1875_ATH_258;ATH;10103
47;-0.027942096239915004;0.0288572371981089;10104_1868_ATH_106;ATH;10104
48;-0.014571818368171141;0.015439527260179435;10106_1895_ATH_671;ATH;10106
49;-0.05618983459525871;0.05642399267399268;10110_1904_ATH_619;ATH;10110
50;0.005158689055653413;0.03897908537916762;10114_1903_ATH_558;ATH;10114
51;-0.03700865709317209;0.023355918221989652;10115_1911_ATH_483;ATH;10115
52;0.003054058349530596;0.06000757316845833;10117_1856_ATH_520;ATH;10117
53;-0.012237042878859778;0.04274193702168302;10118_1896_ATH_510;ATH;10118
54;-0.022468806404011023;0.035610351681599144;10126_1842_ATH_77;ATH;10126
55;-0.018064696879152187;0.03569877715026092;10128_1850_ATH_1209;ATH;10128
56;0.022688278953007637;0.05082100780064581;10129_1846_ATH_1113;ATH;10129
57;-0.009740121386858133;0.04518947388495364;10130_1870_ATH_361;ATH;10130
58;0.010147892327502281;0.05118493592340518;10132_1854_ATH_992;ATH;10132
59;-0.012974648643496674;0.015857131115383918;10133_1855_ATH_1393;ATH;10133
60;0.00506265764089127;0.017850131098722098;10134_1843_ATH_209;ATH;10134
61;-0.027094416608990122;0.024145678493650742;10137_1865_ATH_569;ATH;10137
62;0.0030546847365623274;0.038982676288341615;10142_1845_ATH_477;ATH;10142
63;0.0023132868374490284;0.005477278381713866;10143_1847_ATH_302;ATH;10143
64;0.023438594738426785;0.0012859935163996947;10148_1889_ATH_371;ATH;10148
65;-0.00045854219234321865;0.03817386196903004;10168_1905_ATH_397;ATH;10168
66;-0.07947880536861097;0.024375417780748664;10172_1912_ATH_446;ATH;10172
67;-0.01072436690429212;0.011047128955337071;10176_1891_ATH_645;ATH;10176
68;0.002759148325897252;0.037458428501601054;10180_1834_ATH_113;ATH;10180
