;sentiscore_average;sentiment_Textblob;textfile;journal;text_id
0;-0.00143294454380524;0.025530045351473924;20000_1843_MGS_401;MGS;20000
1;0.005590703811420456;0.023793571596010678;20001_1853_BLU_558;BLU;20001
2;0.024147206949003575;-0.03429326513213981;20002_1840_MGS_453;MGS;20002
3;0.004623183932469636;0.023481274438305604;20003_1833_MGS_101;MGS;20003
4;0.005823748431767534;0.02777325689635246;20004_1827_ALZ_205;ALZ;20004
5;-0.006927550037813519;0.046649328913260804;20005_1826_ALZ_65;ALZ;20005
6;0.010986437069196714;0.02310030280531934;20006_1854_BLU_604;BLU;20006
7;-0.034217824343046946;0.04465634759021679;20011_1886_BLU_323;BLU;20011
8;0.025051027536392212;0.0;20011_1891_DL_347;DL;20011
9;-0.029951765089430468;0.04686051596311248;20018_1818_ALZ_97;ALZ;20018
10;0.06381509257135569;0.040873015873015874;20024_1847_BLU_1039;BLU;20024
11;0.034444634515786846;0.008665882958730239;20028_1853_BLU_444;BLU;20028
12;-0.02365101780837503;0.05999636440629088;20029_1844_MGS_330;MGS;20029
13;-0.003976316832221254;0.05449429943021994;20030_1891_BLU_84;BLU;20030
14;0.03142104790075331;0.03759921153172427;20032_1898_BLU_329;BLU;20032
15;-0.01983587370220512;0.03865141845731908;20033_1897_BLU_215;BLU;20033
16;0.023473589073389003;0.02278507170795307;20034_1896_BLU_347;BLU;20034
17;-0.009597567241769743;0.04737473632244125;20037_1790_ALZ_549;ALZ;20037
18;-0.011176883723765602;0.11087833958527739;20041_1834_BLU_755;BLU;20041
19;-0.02704172988474627;0.048717948717948725;20041_1834_MGS_161;MGS;20041
20;0.012635522174759783;0.018749182982256078;20042_1846_MGS_353;MGS;20042
21;0.05691291858593434;0.014353358579137124;20044_1846_MGS_353;MGS;20044
22;0.01591870046890292;0.02434874203571682;20047_1846_MGS_353;MGS;20047
23;-0.006006800835222506;0.05852501111414524;20053_1836_ALZ_425;ALZ;20053
24;-0.05203787296767382;0.06343081260844419;20053_1836_MGS_104;MGS;20053
25;-0.018223014294907646;0.014472667026337994;20053_1837_BLU_1067;BLU;20053
26;-0.020466242991104503;0.01946022727272728;20053_1839_BLU_1253;BLU;20053
27;-0.008141929432359056;0.009189416151075812;20055_1888_BLU_830;BLU;20055
28;0.04441400703356322;0.03884552538964304;20060_1903_DL_3158;DL;20060
29;0.005282640462797699;0.08280025530025531;20064_1896_BLU_469;BLU;20064
30;-0.02921325400410764;0.003988923884757218;20065_1894_BLU_329;BLU;20065
31;0.019918189479526192;-0.016801423129533064;20066_1846_MGS_157;MGS;20066
32;-0.036462465339961156;-0.020699179292929294;20066_1847_BLU_159;BLU;20066
33;0.007377616314626738;0.0075205551365375685;20069_1864_BLU_904;BLU;20069
34;0.03526854899194505;0.012059210526315783;20071_1883_DL_1747;DL;20071
35;-0.056917398139124824;0.011405723905723907;20072_1896_BLU_425;BLU;20072
36;0.032515474073494775;0.017594047366774637;20073_1888_BLU_415;BLU;20073
37;0.0008654075241930568;-0.01394580036821416;20074_1890_BLU_397;BLU;20074
38;-0.0011265637981904358;0.07591614906832297;20075_1890_BLU_757;BLU;20075
39;0.04136262807462897;-0.06894736842105263;20076_1883_DL_1747;DL;20076
40;-0.030681989868312623;0.0161172764433634;20077_1889_BLU_743;BLU;20077
41;0.0029863129887315975;0.009953703703703702;20078_1889_BLU_727;BLU;20078
42;-0.002136259246617556;-0.005833333333333336;20082_1883_DL_1747;DL;20082
43;0.0338129429944924;-0.02475490196078432;20084_1788_ALZ_606;ALZ;20084
44;-0.027470990549772978;0.18291353383458647;20085_1788_ALZ_604;ALZ;20085
45;-0.009886710417879467;0.074680981980982;20086_1826_BLU_97;BLU;20086
46;-0.0070558575701800885;-0.021158267020335995;20086_1827_ALZ_327;ALZ;20086
47;0.017240745276606906;0.026968046477850404;20087_1835_ALZ_800;ALZ;20087
48;-0.022001309182282935;0.04336527742024197;20087_1836_MGS_486;MGS;20087
49;-0.019405472419545582;-0.019895377339098734;20088_1819_ALZ_132;ALZ;20088
50;-0.03166333469867366;0.07646697388632871;20090_1834_BLU_755;BLU;20090
51;-0.12153798296596066;0.04375;20090_1834_MGS_161;MGS;20090
52;-0.014823570096244415;0.023027027027027032;20092_1826_BLU_97;BLU;20092
53;0.07155469407637914;0.11368003341687552;20092_1827_ALZ_327;ALZ;20092
54;-0.031189261583428562;0.05879558577907017;20102_1883_BLU_682;BLU;20102
55;-0.022799201955374406;0.01165149954212454;20103_1890_BLU_468;BLU;20103
56;0.007527697999724503;0.03846100759144238;20103_1890_DL_1733;DL;20103
57;-0.05791771479569747;0.0674488446234217;20104_1888_BLU_599;BLU;20104
58;-0.04121183900805634;0.03684671326986317;20105_1881_DL_1938;DL;20105
59;0.019195016501358356;0.032949535251766485;20105_1882_BLU_406;BLU;20105
60;-0.01525613244543464;0.011819255013991857;20106_1881_DL_1316;DL;20106
61;0.001352210498104493;0.05098447712418301;20107_1883_BLU_697;BLU;20107
62;-0.01135895026579889;0.02763825324180015;20107_1883_DL_30;DL;20107
63;-0.048195208391259584;0.016724279784617647;20108_1895_BLU_721;BLU;20108
64;-0.014732771952264776;0.04154371940737594;20108_1896_DL_244;DL;20108
65;-0.029180909122198888;0.021284376221351004;20109_1898_BLU_826;BLU;20109
66;-0.049168104506664416;0.042311189627366096;20111_1897_BLU_393;BLU;20111
67;-0.02150837366279715;0.07355886193645456;20111_1897_DL_428;DL;20111
68;-0.013416812201768718;0.026181050684115074;20113_1879_BLU_131;BLU;20113
