;sentiscore_average;sentiment_Textblob;sentiment;textfile;journal;text_id;classified
0;0;0.025530045;0.025530045;20000_1843_MGS_401;MGS;20000;positive
82;0;0.03986056;0.03986056;20141_1843_MGS_227;MGS;20141;positive
168;0;0.013518606;0.013518606;20387_1843_MGS_257;MGS;20387;positive
12;-0.023651018;0.059996364;0;20029_1844_MGS_330;MGS;20029;not_classified
81;0.002070045;-0.000658771;0;20138_1844_MGS_437;MGS;20138;not_classified
128;0;0.04751672;0.04751672;20282_1844_BLU_193;BLU;20282;positive
187;0;0.059997005;0.059997005;20453_1845_MGS_209;MGS;20453;positive
193;0;0.014413919;0.014413919;20461_1845_MGS_209;MGS;20461;positive
215;-0.0054888;-0.048849316;0;20537_1845_MGS_420;MGS;20537;not_classified
20;0;0.018749183;0.018749183;20042_1846_MGS_353;MGS;20042;positive
21;0;0.014353359;0.014353359;20044_1846_MGS_353;MGS;20044;positive
22;0;0.024348742;0.024348742;20047_1846_MGS_353;MGS;20047;positive
31;0.019918189;-0.016801423;0;20066_1846_MGS_157;MGS;20066;not_classified
76;0;0.027043775;0.027043775;20126_1846_BLU_1099;BLU;20126;positive
153;0;0.066666667;0.066666667;20346_1846_MGS_256;MGS;20346;positive
216;0;0.060406877;0.060406877;20537_1846_BLU_883;BLU;20537;positive
10;0;0.040873016;0.040873016;20024_1847_BLU_1039;BLU;20024;positive
32;-0.036462465;0;-0.036462465;20066_1847_BLU_159;BLU;20066;negative
100;-0.008117171;0;-0.008117171;20188_1847_MGS_76;MGS;20188;negative
112;0;0.01963835;0.01963835;20215_1847_MGS_113;MGS;20215;positive
154;0;0.009642857;0.009642857;20346_1847_BLU_40;BLU;20346;positive
169;0.002893501;0.004937202;0;20387_1847_BLU_1231;BLU;20387;not_classified
188;-0.037867003;0.090909091;0;20453_1847_MGS_124;MGS;20453;not_classified
194;-0.037867003;0.090909091;0;20461_1847_MGS_124;MGS;20461;not_classified
83;-0.01971225;0.00891493;0;20144_1849_MGS_183;MGS;20144;not_classified
212;-0.000574456;-0.002261809;0;20515_1849_BLU_1178;BLU;20515;not_classified
1;0;0.023793572;0.023793572;20001_1853_BLU_558;BLU;20001;positive
11;0.034444635;0.008665883;0;20028_1853_BLU_444;BLU;20028;not_classified
186;-0.016163132;0.053125;0;20450_1853_BLU_774;BLU;20450;not_classified
189;-0.115779057;0.077419355;0;20454_1853_BLU_774;BLU;20454;not_classified
190;0;0.009090909;0.009090909;20455_1853_BLU_774;BLU;20455;positive
191;-0.05222939;0.089130435;0;20457_1853_BLU_774;BLU;20457;not_classified
192;-0.025308604;0.010119048;0;20458_1853_BLU_774;BLU;20458;not_classified
196;0;0.034042553;0.034042553;20464_1853_BLU_774;BLU;20464;positive
6;0;0.023100303;0.023100303;20006_1854_BLU_604;BLU;20006;positive
115;0;0.022724893;0.022724893;20220_1854_MGS_123;MGS;20220;positive
146;0.010856527;-0.045205217;0;20321_1854_BLU_196;BLU;20321;not_classified
149;-0.035295665;0.028768141;0;20329_1854_BLU_285;BLU;20329;not_classified
127;0;0.017793814;0.017793814;20261_1855_BLU_469;BLU;20261;positive
129;0;0.009418988;0.009418988;20286_1856_MGS_952;MGS;20286;positive
178;-0.013489258;0.04223594;0;20425_1856_BLU_25;BLU;20425;not_classified
195;-0.019908241;0.046366298;0;20463_1858_BLU_577;BLU;20463;not_classified
98;0.012687613;-0.019802361;0;20185_1863_BLU_847;BLU;20185;not_classified
33;0.007377616;0.007520555;0;20069_1864_BLU_904;BLU;20069;not_classified
163;0;0.031765225;0.031765225;20373_1864_BLU_774;BLU;20373;positive
197;0.003629127;0.006995039;0;20465_1868_BLU_401;BLU;20465;not_classified
184;0;0.023598599;0.023598599;20443_1869_BLU_385;BLU;20443;positive
164;-0.017303053;0.023008078;0;20374_1870_BLU_824;BLU;20374;not_classified
137;-0.013183691;0.020915033;0;20309_1874_BLU_313;BLU;20309;not_classified
173;0.0539151;-0.017371861;0;20406_1874_BLU_708;BLU;20406;not_classified
170;0.033971405;-0.004802983;0;20398_1875_BLU_635;BLU;20398;not_classified
172;0.020392869;0;0;20402_1875_BLU_429;BLU;20402;not_classified
138;0;0.011544407;0.011544407;20310_1877_BLU_374;BLU;20310;positive
161;0;0.031057012;0.031057012;20370_1877_BLU_1;BLU;20370;positive
162;-0.012193978;0.026066381;0;20370_1877_BLU_229;BLU;20370;not_classified
183;0;0.031057012;0.031057012;20441_1877_BLU_1;BLU;20441;positive
198;-0.064018053;0.035396825;0;20472_1878_BLU_157;BLU;20472;not_classified
68;-0.013416812;0.026181051;0;20113_1879_BLU_131;BLU;20113;not_classified
139;-0.014763398;0;-0.014763398;20311_1880_BLU_337;BLU;20311;negative
157;-0.034417371;0.036957359;0;20363_1880_BLU_83;BLU;20363;not_classified
204;-0.043970174;0;-0.043970174;20479_1880_DL_471;DL;20479;negative
203;-0.070297052;0.049593346;0;20479_1880_BLU_442;BLU;20479;not_classified
58;-0.041211839;0.036846713;0;20105_1881_DL_1938;DL;20105;not_classified
60;-0.015256132;0.011819255;0;20106_1881_DL_1316;DL;20106;not_classified
71;0.03358907;-0.013115413;0;20117_1881_BLU_53;BLU;20117;not_classified
140;-0.009517065;0.035267006;0;20311_1881_BLU_53;BLU;20311;not_classified
59;0;0.032949535;0.032949535;20105_1882_BLU_406;BLU;20105;positive
73;0;0.048323397;0.048323397;20119_1882_DL_375;DL;20119;positive
72;0.003968104;-0.013205876;0;20119_1882_BLU_105;BLU;20119;not_classified
34;0;0.012059211;0.012059211;20071_1883_DL_1747;DL;20071;positive
39;0.041362628;-0.068947368;0;20076_1883_DL_1747;DL;20076;not_classified
42;-0.002136259;-0.005833333;0;20082_1883_DL_1747;DL;20082;not_classified
54;-0.031189262;0.058795586;0;20102_1883_BLU_682;BLU;20102;not_classified
61;0;0.050984477;0.050984477;20107_1883_BLU_697;BLU;20107;positive
62;-0.01135895;0.027638253;0;20107_1883_DL_30;DL;20107;not_classified
134;0;0.047756352;0.047756352;20307_1883_BLU_436;BLU;20307;positive
199;0.033802802;0.000700014;0;20474_1883_BLU_588;BLU;20474;not_classified
133;0;0.028767373;0.028767373;20306_1884_BLU_300;BLU;20306;positive
142;0;0.012424943;0.012424943;20313_1884_BLU_722;BLU;20313;positive
143;0;0.034495192;0.034495192;20313_1884_DL_914;DL;20313;positive
176;0.02973671;0.00531746;0;20409_1884_BLU_266;BLU;20409;not_classified
201;-0.0130524;0.041777447;0;20477_1884_DL_100;DL;20477;not_classified
141;-0.04108128;0.018447459;0;20312_1885_DL_204;DL;20312;not_classified
167;0;0.025018183;0.025018183;20385_1885_DL_320;DL;20385;positive
202;-0.020799898;0.026082945;0;20478_1885_BLU_355;BLU;20478;not_classified
7;-0.034217824;0.044656348;0;20011_1886_BLU_323;BLU;20011;not_classified
119;0;0.034193129;0.034193129;20242_1887_DL_512;DL;20242;positive
118;-0.018108448;0.040446929;0;20242_1887_BLU_119;BLU;20242;not_classified
27;-0.008141929;0.009189416;0;20055_1888_BLU_830;BLU;20055;not_classified
36;0;0.017594047;0.017594047;20073_1888_BLU_415;BLU;20073;positive
57;-0.057917715;0.067448845;0;20104_1888_BLU_599;BLU;20104;not_classified
126;-0.02382567;0.009768117;0;20258_1888_DL_1468;DL;20258;not_classified
131;0;0.0170992;0.0170992;20304_1888_BLU_61;BLU;20304;positive
159;0;0.013434332;0.013434332;20368_1888_BLU_805;BLU;20368;positive
171;0.008098164;0.008644886;0;20399_1888_BLU_761;BLU;20399;not_classified
175;-0.118888565;0.152040816;0;20408_1888_BLU_822;BLU;20408;not_classified
200;0.009781821;-0.001667157;0;20475_1888_BLU_805;BLU;20475;not_classified
40;-0.03068199;0.016117276;0;20077_1889_BLU_743;BLU;20077;not_classified
41;0;0.009953704;0.009953704;20078_1889_BLU_727;BLU;20078;positive
113;-0.018898881;0;-0.018898881;20216_1889_DL_1906;DL;20216;negative
37;0.000865408;-0.0139458;0;20074_1890_BLU_397;BLU;20074;not_classified
38;0;0.075916149;0.075916149;20075_1890_BLU_757;BLU;20075;positive
56;0;0.038461008;0.038461008;20103_1890_DL_1733;DL;20103;positive
55;-0.022799202;0.0116515;0;20103_1890_BLU_468;BLU;20103;not_classified
165;0;0.03292545;0.03292545;20375_1890_BLU_769;BLU;20375;positive
181;0.035386003;0.00118813;0;20440_1890_BLU_628;BLU;20440;not_classified
205;-0.025685255;0.057418433;0;20482_1890_BLU_322;BLU;20482;not_classified
8;0.025051028;0;0;20011_1891_DL_347;DL;20011;not_classified
13;0;0.054494299;0.054494299;20030_1891_BLU_84;BLU;20030;positive
132;0;0.026315789;0.026315789;20304_1891_BLU_817;BLU;20304;positive
135;0;0.024551633;0.024551633;20307_1891_BLU_817;BLU;20307;positive
136;0;0.046907136;0.046907136;20308_1891_BLU_817;BLU;20308;positive
166;-0.032690424;0.025155199;0;20384_1891_BLU_5;BLU;20384;not_classified
182;-0.029083137;0.024663532;0;20440_1891_DL_1875;DL;20440;not_classified
69;-0.030837485;0.039080576;0;20115_1892_BLU_808;BLU;20115;not_classified
70;-0.025096868;0.027400691;0;20116_1892_BLU_179;BLU;20116;not_classified
152;0.052955273;-0.072077922;0;20343_1892_DL_1612;DL;20343;not_classified
96;-0.025848837;0;-0.025848837;20172_1893_BLU_537;BLU;20172;negative
174;-0.042466411;0.044365079;0;20407_1893_BLU_28;BLU;20407;not_classified
30;-0.029213254;0;-0.029213254;20065_1894_BLU_329;BLU;20065;negative
117;0.040170754;-0.005116571;0;20224_1894_BLU_235;BLU;20224;not_classified
156;-0.010982935;0;-0.010982935;20360_1894_BLU_407;BLU;20360;negative
63;-0.048195208;0.01672428;0;20108_1895_BLU_721;BLU;20108;not_classified
75;0.037453739;0.002033215;0;20124_1895_BLU_315;BLU;20124;not_classified
155;0;0.023135189;0.023135189;20356_1895_BLU_428;BLU;20356;positive
180;-0.102595914;0.013173077;0;20435_1895_BLU_538;BLU;20435;not_classified
16;0;0.022785072;0.022785072;20034_1896_BLU_347;BLU;20034;positive
29;0;0.082800255;0.082800255;20064_1896_BLU_469;BLU;20064;positive
35;-0.056917398;0.011405724;0;20072_1896_BLU_425;BLU;20072;not_classified
64;-0.014732772;0.041543719;0;20108_1896_DL_244;DL;20108;not_classified
15;-0.019835874;0.038651418;0;20033_1897_BLU_215;BLU;20033;not_classified
66;-0.049168105;0.04231119;0;20111_1897_BLU_393;BLU;20111;not_classified
67;-0.021508374;0.073558862;0;20111_1897_DL_428;DL;20111;not_classified
14;0;0.037599212;0.037599212;20032_1898_BLU_329;BLU;20032;positive
65;-0.029180909;0.021284376;0;20109_1898_BLU_826;BLU;20109;not_classified
95;0;0.013296269;0.013296269;20170_1898_BLU_556;BLU;20170;positive
158;0;0.073260073;0.073260073;20363_1898_BLU_443;BLU;20363;positive
160;0;0.148;0.148;20368_1898_BLU_443;BLU;20368;positive
185;0;0.031235043;0.031235043;20444_1900_DL_3400;DL;20444;positive
211;0.012486629;0.005548433;0;20509_1900_DL_1090;DL;20509;not_classified
74;0;0.08693209;0.08693209;20120_1902_DL_823;DL;20120;positive
28;0;0.038845525;0.038845525;20060_1903_DL_3158;DL;20060;positive
111;0.078256142;-0.115559441;0;20212_1908_DL_393;DL;20212;not_classified
177;-0.017404893;0.073696742;0;20410_2867_BLU_413;BLU;20410;not_classified
